0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
AB3,125,"274,51","43,59","44,61","41,77","46,70",,,,,,,,,,,,,,,,,,
B2,462,"242,13","38,29","39,35","36,05","41,26",,,,,,,,,,,,,,,,,,
B3,138,"279,14","38,31","38,64","37,24","41,03",,,,,,,,,,,,,,,,,,
C2,2130,"240,68","36,91","37,29","35,50","38,92",,,,,,,,,,,,,,,,,,
C3,495,"275,03","36,98","37,45","35,46","38,44",,,,,,,,,,,,,,,,,,
16,763,,,,,,,,,,,,,,,,,,,,,,,
LAMB/SHEEP,Lamb,A2,-,Sales,Price,,,,,,,,,,,,,,,,,,,
A0,331,"14,04","52,72","52,69","45,75","57,54",,,,,,,,,,,,,,,,,,
A1,1655,"15,69","62,91","63,35","60,40","66,00",,,,,,,,,,,,,,,,,,
A2,14961,"19,37","64,35","64,99","62,34","67,97",,,,,,,,,,,,,,,,,,
A3,2032,"20,75","63,07","64,36","62,58","66,82",,,,,,,,,,,,,,,,,,
A4,513,"20,10","53,90","56,29","51,20","60,84",,,,,,,,,,,,,,,,,,
A5,121,"20,54","50,05","50,25","46,61","56,06",,,,,,,,,,,,,,,,,,
A6,179,"19,79","48,88","50,31","46,72","56,73",,,,,,,,,,,,,,,,,,
AB2,250,"19,42","51,42","55,61","49,47","59,12",,,,,,,,,,,,,,,,,,
AB3,73,"20,59","50,80","53,87","51,64","58,90",,,,,,,,,,,,,,,,,,
B2,196,"23,96","47,13","48,86","44,52","53,46",,,,,,,,,,,,,,,,,,
B3,50,"25,86","46,95","48,53","44,50","52,47",,,,,,,,,,,,,,,,,,
C2,1249,"23,80","45,91","46,24","40,92","51,96",,,,,,,,,,,,,,,,,,
C3,409,"27,75","46,32","45,69","39,47","53,00",,,,,,,,,,,,,,,,,,
22,019,Hide,Feedlot,"15,53",,,,,,,,,,,,,,,,,,,,
Dorper,ea,"43,85",,,,,,,,,,,,,,,,,,,,,,
PIGS,Units,Avg,Avg,Purch,Purch,Purch,Merino,ea,"92,32",,,,,,,,,,,,,,,
Mass,Price,Min,Max,,,,,,,,,,,,,,,,,,,,,
PP,2557,"52,78","26,39","24,49","29,07",,,,,,,,,,,,,,,,,,,
PO,218,"51,66","26,80","24,56","28,69",,,,,,,,,,,,,,,,,,,
PR,25,"50,40","24,92","25,00","26,20",,,,,,,,,,,,,,,,,,,
PC,19,"42,25","22,32","16,84","28,42",,,,,,,,,,,,,,,,,,,
PU,5,"52,02","14,40","13,00","21,33",,,,,,,,,,,,,,,,,,,
PS,9,"48,49","16,84","16,00","17,50",,,,,,,,,,,,,,,,,,,
CP,646,"60,90","28,11","26,73","29,93",,,,,,,,,,,,,,,,,,,
CO,64,"62,15","27,72","26,82","30,47",,,,,,,,,,,,,,,,,,,
CR,3,"59,40","23,45","21,53","27,00",,,,,,,,,,,,,,,,,,,
CC,2,"64,55","18,00","18,00","18,00",,,,,,,,,,,,,,,,,,,
CU,1,"62,90","13,00","13,00","13,00",,,,,,,,,,,,,,,,,,,
CS,2,"61,20","13,57","11,00","16,00",,,,,,,,,,,,,,,,,,,
BP,5664,"73,06","26,72","23,86","28,72",,,,,,,,,,,,,,,,,,,
BO,1796,"75,62","27,19","25,35","29,05",Baconer,BO,-,Purchase,Price,,,,,,,,,,,,,,
BR,160,"76,95","26,03","24,34","28,33",,,,,,,,,,,,,,,,,,,
BC,16,"75,17","23,89","20,92","29,00",,,,,,,,,,,,,,,,,,,
BU,1,82,"18,50","18,50","18,50",,,,,,,,,,,,,,,,,,,
BS,4,"81,60","24,87","22,00","29,00",,,,,,,,,,,,,,,,,,,
HP,1844,"86,07","26,03","24,54","27,44",,,,,,,,,,,,,,,,,,,
HO,1587,"88,05","25,89","25,56","27,52",,,,,,,,,,,,,,,,,,,
HR,291,"88,64","25,15","23,29","26,51",,,,,,,,,,,,,,,,,,,
HC,33,"90,11","20,06","15,00","20,77",,,,,,,,,,,,,,,,,,,
HU,5,"86,72","19,88","19,88","19,88",,,,,,,,,,,,,,,,,,,
HS,4,"99,08","16,00","9,40","20,00",,,,,,,,,,,,,,,,,,,
SAU,290,"154,84","16,69","15,44","18,84",,,,,,,,,,,,,,,,,,,
SAB,"79,00","137,60","13,62","8,00","18,28",,,,,,,,,,,,,,,,,,,
15,325,,,,,,,,,,,,,,,,,,,,,,,
6,7,8,9,1011121314,2017,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,
56,58,60,62,64,66,68,70,,,,,,,,,,,,,,,,,
6,7,8,9,1011121314,2017,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,
23,24,25,26,27,28,,,,,,,,,,,,,,,,,,,
6,7,8,9,1011121314,2017,,,,,,,,,,,,,,,,,,,
Class,Units,Avg_mass,Avg_purch,Avg_selling,Selling_min,Selling_max2018/04/02,To,2018/04/08,,,,,,,,,,,,,,,,
A2,7890,"266,07","47,17","47,97","46,65","49,11",Hide,Feedlot,"9,83",,,,,,,,,,,,,,,
A3,1100,"287,90","47,38","48,34","46,68","50,00",Veldt,"9,75",,,,,,,,,,,,,,,,
AB2,540,"265,20","45,93","46,63","45,05","48,76",Dorper,ea,"35,00",,,,,,,,,,,,,,,
AB3,123,"290,23","45,64","46,59","45,47","48,29",Merino,ea,"81,25",,,,,,,,,,,,,,,
B2,273,"242,28","42,44","44,15","39,57","46,15",,,,,,,,,,,,,,,,,,
B3,80,"278,90","42,12","44,19","43,19","45,46",,,,,,,,,,,,,,,,,,
C2,851,"250,78","41,06","41,98","40,40","43,06",,,,,,,,,,,,,,,,,,
C3,492,"272,51","41,39","42,33","40,98","43,21",,,,,,,,,,,,,,,,,,
11,349,,,,,,,,,,,,,,,,,,,,,,,
A0,11,"12,18","42,30","57,63","41,00","59,82",,,,,,,,,,,,,,,,,,
A1,172,"14,08","68,30","67,18","66,19","68,33",,,,,,,,,,,,,,,,,,
A2,6437,"21,81","70,21","70,36","68,79","71,26",,,,,,,,,,,,,,,,,,
A3,1389,"23,82","71,30","70,22","70,09","70,61",,,,,,,,,,,,,,,,,,
A4,157,"25,17","62,01","62,86","62,09","65,41",,,,,,,,,,,,,,,,,,
A5,26,"27,17","51,78","52,51","50,02","55,84",,,,,,,,,,,,,,,,,,
A6,30,"26,57","52,08","52,66","51,19","56,85",,,,,,,,,,,,,,,,,,
AB2,102,"19,58","61,11","65,83","62,70","67,35",,,,,,,,,,,,,,,,,,
AB3,21,"22,30","60,44","64,65","59,55","66,00",,,,,,,,,,,,,,,,,,
B2,67,"18,46","54,78","58,69","56,31","62,90",,,,,,,,,,,,,,,,,,
B3,2,"25,90","52,25","55,89","54,20","57,95",,,,,,,,,,,,,,,,,,
C2,395,"22,09","50,13","54,14","46,00","60,44",,,,,,,,,,,,,,,,,,
C3,33,"25,39","52,35","57,54","52,71","60,00",,,,,,,,,,,,,,,,,,
8,842,,,,,,,,,,,,,,,,,,,,,,,
Units,Avg_mass,Avg_purch,Purch_min,Purch_maxMin,,,,,,,,,,,,,,,,,,,,
P,1279,"52,80","21,47","19,12","22,12",,,,,,,,,,,,,,,,,,,
O,81,"48,78","20,83","16,93","23,00",,,,,,,,,,,,,,,,,,,
R,31,"46,32","20,26","16,45","21,50",,,,,,,,,,,,,,,,,,,
C,18,"49,58","19,10","15,22","21,00",,,,,,,,,,,,,,,,,,,
U,1,"34,30","21,00","21,00","21,00",,,,,,,,,,,,,,,,,,,
S,1,"34,30","21,00","21,00","21,00",,,,,,,,,,,,,,,,,,,
P,740,"60,86","19,90","17,86","22,17",,,,,,,,,,,,,,,,,,,
O,118,"60,60","19,76","17,90","22,14",,,,,,,,,,,,,,,,,,,
R,7,"60,32","19,15","17,38","20,00",,,,,,,,,,,,,,,,,,,
C,1,"59,50","18,00","18,00","18,00",,,,,,,,,,,,,,,,,,,
P,5360,"76,15","19,40","17,61","22,16",,,,,,,,,,,,,,,,,,,
O,2216,"76,90","19,55","17,35","21,52",,,,,,,,,,,,,,,,,,,
R,244,"78,23","18,64","17,00","21,35",,,,,,,,,,,,,,,,,,,
C,18,"79,10","15,59","13,79","17,15",,,,,,,,,,,,,,,,,,,
U,2,"68,60","18,11","15,40","21,00",,,,,,,,,,,,,,,,,,,
S,2,"92,25","13,33","9,90","16,50",,,,,,,,,,,,,,,,,,,
P,2583,"87,67","20,27","16,94","24,45",,,,,,,,,,,,,,,,,,,
O,3983,"89,00","19,63","16,88","21,88",,,,,,,,,,,,,,,,,,,
R,941,"90,53","18,03","16,29","19,44",,,,,,,,,,,,,,,,,,,
C,64,"90,88","14,23","13,62","16,55",,,,,,,,,,,,,,,,,,,
U,6,"89,51","13,04","13,00","13,04",,,,,,,,,,,,,,,,,,,
S,37,"101,07","16,48","14,21","17,43",,,,,,,,,,,,,,,,,,,
1329,"130,06","14,42","11,46","16,86",,,,,,,,,,,,,,,,,,,,
19,062,,,,,,,,,,,,,,,,,,,,,,,
LAMB/SHEEP,,,,,,,,,,,,,,,,,,,,,,,,
PIGS43444546474849,,,,,,,,,,,,,,,,,,,,,,,,
8,9,10,11,12,13,14Beef,A2,-Sales,Price,2018,2017,,,,,,,,,,,,,
646668707274,,,,,,,,,,,,,,,,,,,,,,,,
891011121314Lamb,A2,-Sales,Price,2018,2017,,,,,,,,,,,,,,,,,,,
1921232527,,,,,,,,,,,,,,,,,,,,,,,,
A2,7868,"282,08","43,45","43,90","43,53","44,39",Hide,Feedlot,Weighted,"1,93",,,,,,,,,,,,,,
A3,958,"300,59","43,49","40,78","35,35","44,78",Hide,Field,Average,"1,49",,,,,,,,,,,,,,
AB2,327,"275,84","41,20","43,96","41,31","46,39",Dorper,ea,"33,00",,,,,,,,,,,,,,,
AB3,62,"276,78","41,70","43,88","42,31","45,08",Merino,ea,"43,57",,,,,,,,,,,,,,,
B2,202,"252,53","38,14","39,29","38,19","42,60",,,,,,,,,,,,,,,,,,
B3,53,"303,63","38,37","40,70","38,27","42,50",,,,,,,,,,,,,,,,,,
C2,817,"257,65","37,88","40,55","37,94","42,00",,,,,,,,,,,,,,,,,,
C3,314,"286,22","38,10","41,19","38,26","42,00",,,,,,,,,,,,,,,,,,
10,601,,,,,,,,,,,,,,,,,,,,,,,
Class,Units,Avg_mass,Avg_purch,Avg_Selling,Selling_Min,Selling_Max,,,,,,,,,,,,,,,,,,
A0,87,"14,16","49,86","60,40","58,57","60,88",,,,,,,,,,,,,,,,,,
A1,209,"15,24","60,90","64,47","59,61","69,23",,,,,,,,,,,,,,,,,,
A2,5815,"21,18","66,08","69,74","64,09","72,70",,,,,,,,,,,,,,,,,,
A3,899,"22,91","65,75","70,46","68,22","72,02",,,,,,,,,,,,,,,,,,
A4,106,"21,70","52,59","61,48","57,84","62,44",,,,,,,,,,,,,,,,,,
A5,20,"24,00","43,71","52,34","48,25","59,94",,,,,,,,,,,,,,,,,,
A6,29,"19,17","43,21","54,28","50,82","57,44",,,,,,,,,,,,,,,,,,
AB2,96,"21,59","55,29","58,55","50,70","64,65",,,,,,,,,,,,,,,,,,
AB3,16,"25,11","54,24","57,68","50,00","64,43",,,,,,,,,,,,,,,,,,
B2,180,"22,14","54,36","59,07","54,83","62,17",,,,,,,,,,,,,,,,,,
B3,45,"24,80","48,33","59,04","55,86","60,00",,,,,,,,,,,,,,,,,,
C2,1257,"22,79","49,94","53,96","52,64","56,03",,,,,,,,,,,,,,,,,,
C3,254,"24,74","49,94","54,41","53,19","56,62",,,,,,,,,,,,,,,,,,
9,013,,,,,,,,,,,,,,,,,,,,,,,
Class,Units,Avg_mass,Avg_purch,Purch_min,Purch_max,,,,,,,,,,,,,,,,,,,
P,1692,"51,91","22,58","20,82","23,67",,,,,,,,,,,,,,,,,,,
O,261,"49,78","22,07","20,68","23,39",,,,,,,,,,,,,,,,,,,
R,29,"53,79","21,12","20,00","23,00",,,,,,,,,,,,,,,,,,,
C,4,"59,90","22,50","22,50","22,50",,,,,,,,,,,,,,,,,,,
U,2,"52,90","17,96","12,00","22,50",,,,,,,,,,,,,,,,,,,
S,"357,83","19,30","12,00","22,50",,,,,,,,,,,,,,,,,,,,
P,1435,"61,25","22,33","20,50","24,06",,,,,,,,,,,,,,,,,,,
O,223,"61,52","22,30","20,50","24,60",,,,,,,,,,,,,,,,,,,
R,12,"60,85","22,39","20,80","24,40",,,,,,,,,,,,,,,,,,,
U,"160,00","12,00","12,00","12,00",,,,,,,,,,,,,,,,,,,,
P,7437,"77,03","21,88","20,51","23,54",,,,,,,,,,,,,,,,,,,
O,3374,"79,03","21,26","20,50","23,04",,,,,,,,,,,,,,,,,,,
R,294,"78,90","20,91","19,99","22,79",,,,,,,,,,,,,,,,,,,
C,25,"80,12","19,16","17,30","20,52",,,,,,,,,,,,,,,,,,,
U,"980,94","18,60","15,19","19,60",,,,,,,,,,,,,,,,,,,,
P,3402,"85,35","20,91","18,88","23,61",,,,,,,,,,,,,,,,,,,
O,4885,"86,67","20,79","18,87","23,46",,,,,,,,,,,,,,,,,,,
R,673,"88,63","20,94","18,67","22,81",,,,,,,,,,,,,,,,,,,
C,47,"90,11","18,89","18,63","19,09",,,,,,,,,,,,,,,,,,,
U,15,"86,13","19,05","18,34","20,20",,,,,,,,,,,,,,,,,,,
S,"9798,23","20,84","20,47","20,92",,,,,,,,,,,,,,,,,,,,
"1253,00","139,81","15,37","13,36","17,55",,,,,,,,,,,,,,,,,,,,
25,17356,-,"64,99",kg,65,-,"79,99",kg,,,,,,,,,,,,,,,,
PIGS,,,,,,,,,,,,,,,,,,,,,,,,
Weighted,20%80,-,"99,99",kg404244464850,,,,,,,,,,,,,,,,,,,,
8,9,10,11,12,13,14Beef,A2,-Sales,Price,2019,2018,,,,,,,,,,,,,
67686970717273,,,,,,,,,,,,,,,,,,,,,,,,
8,9,10,11,12,13,14Lamb,A2,-Sales,Price,2019,2018,,,,,,,,,,,,,
192123252729,,,,,,,,,,,,,,,,,,,,,,,,
Class,Units,Avg_mass,Avg_purch,Avg_selling,Selling_min,Selling_max,From,2017/04/10,To,2017/04/16,,,,,,,,,,,,,,
CATTLE,,,,,,,,,,,,,,,,,,,,,,,,
A2,8640,"255,85","48,12","47,34","39,50","49,83",,,,,,,,,,,,,,,,,,
A3,1235,"269,09","48,14","49,36","45,41","51,00",,,,,,,,,,,,,,,,,,
AB2,524,"244,97","44,38","43,87","36,69","49,59",,,,,,,,,,,,,,,,,,
AB3,135,"273,30","45,68","45,81","43,48","48,94",,,,,,,,,,,,,,,,,,
B2,326,"240,53","38,77","39,74","35,71","43,43",,,,,,,,,,,,,,,,,,
B3,91,"269,87","40,49","40,78","37,83","45,58",,,,,,,,,,,,,,,,,,
C2,1432,"251,14","36,73","37,53","36,19","39,37",,,,,,,,,,,,,,,,,,
C3,452,"272,90","36,57","37,27","35,95","38,50",,,,,,,,,,,,,,,,,,
12,835,,,,,,,,,,,,,,,,,,,,,,,
LAMB/SHEEP,,,,,,,,,,,,,,,,,,,,,,,,
A0,230,"14,46","51,92","52,38","49,35","56,02",,,,,,,,,,,,,,,,,,
A1,1201,"14,65","62,04","61,52","58,18","62,86",Lamb,A2,-,Sales,Price,,,,,,,,,,,,,
A2,10741,"19,84","65,22","64,67","60,91","67,68",,,,,,,,,,,,,,,,,,
A3,1319,"21,77","65,39","64,20","60,18","66,78",,,,,,,,,,,,,,,,,,
A4,210,"21,05","56,56","58,69","56,97","63,37",,,,,,,,,,,,,,,,,,
A5,39,"20,30","51,84","52,79","48,27","60,71",,,,,,,,,,,,,,,,,,
A6,48,"19,18","50,00","51,57","47,36","54,79",,,,,,,,,,,,,,,,,,
AB2,208,"19,21","51,26","53,79","42,94","59,32",,,,,,,,,,,,,,,,,,
AB3,43,"22,14","53,60","55,97","53,63","60,93",,,,,,,,,,,,,,,,,,
B2,283,"21,66","47,82","50,95","47,27","54,46",,,,,,,,,,,,,,,,,,
B3,38,"26,08","48,57","51,07","50,39","57,22",,,,,,,,,,,,,,,,,,
C2,1206,"23,39","44,56","45,99","41,44","52,25",,,,,,,,,,,,,,,,,,
C3,260,"25,64","42,98","46,58","42,52","51,32",,,,,,,,,,,,,,,,,,
15,826,,,,,,,,,,,,,,,,,,,,,,,
PIGS,Units,Avg,Avg,Purch,Purch,Purch,,,,,,,,,,,,,,,,,,
Mass,Price,Min,Max,,,,,,,,,,,,,,,,,,,,,
PP,2393,"53,17","26,35","25,23","28,88",Hide,Feedlot,"15,49",,,,,,,,,,,,,,,,
PO,165,"53,10","26,83","24,54","28,99",Dorper,ea,"41,25",,,,,,,,,,,,,,,,
PR,23,"50,97","24,96","25,35","29,78",Merino,ea,"93,27",,,,,,,,,,,,,,,,
PC,5,"52,18","24,79","23,00","29,00",,,,,,,,,,,,,,,,,,,
PS,8,"35,64","18,69","17,50","24,00",,,,,,,,,,,,,,,,,,,
CP,1321,"61,47","27,19","25,48","28,49",,,,,,,,,,,,,,,,,,,
CO,164,"62,63","27,86","26,31","28,50",,,,,,,,,,,,,,,,,,,
CR,34,"60,52","27,84","26,85","28,50",,,,,,,,,,,,,,,,,,,
CC,6,"59,80","25,00","25,00","25,00",Baconer,BO,-,Purchase,Price,,,,,,,,,,,,,,
CU,2,"61,75","25,65","24,00","27,30",,,,,,,,,,,,,,,,,,,
BP,6349,"72,65","26,22","22,02","29,13",,,,,,,,,,,,,,,,,,,
BO,1756,"74,37","26,85","22,98","29,00",,,,,,,,,,,,,,,,,,,
BR,123,"75,79","26,22","24,90","29,47",,,,,,,,,,,,,,,,,,,
BC,18,"70,45","25,57","20,56","29,00",,,,,,,,,,,,,,,,,,,
BU,3,78,"22,79","18,50","27,30",,,,,,,,,,,,,,,,,,,
BS,3,"90,86","21,12","19,00","22,00",,,,,,,,,,,,,,,,,,,
HP,2807,"85,03","26,53","24,00","28,08",,,,,,,,,,,,,,,,,,,
HO,3003,"86,92","26,78","25,46","28,13",,,,,,,,,,,,,,,,,,,
HR,466,"89,54","25,68","24,02","32,29",,,,,,,,,,,,,,,,,,,
HC,29,"87,88","21,30","15,00","27,30",,,,,,,,,,,,,,,,,,,
HU,7,"88,57","18,60","13,00","24,50",,,,,,,,,,,,,,,,,,,
HS,4,"90,73","19,75","9,40","27,30",,,,,,,,,,,,,,,,,,,
SAU,535,"147,97","18,52","16,30","24,56",,,,,,,,,,,,,,,,,,,
SAB,163,"117,79","16,76","8,00","24,61",,,,,,,,,,,,,,,,,,,
19,387,,,,,,,,,,,,,,,,,,,,,,,
6,8,10,12,14,2017,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,
55,57,59,61,63,65,67,69,,,,,,,,,,,,,,,,,
6,8,10,12,14,2017,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,
23,24,25,26,27,28,,,,,,,,,,,,,,,,,,,
6,8,10,12,14,2017,,,,,,,,,,,,,,,,,,,
Class,Units,Avg_mass,Avg_purch,Avg_selling,Selling_min,Selling_max2019/04/08,To,2019/04/14,,,,,,,,,,,,,,,,
A2,10115,"280,51","43,58","44,25","43,26","45,54",Hide,Feedlot,Weighted,"1,88",,,,,,,,,,,,,,
A3,1290,"299,20","43,54","44,16","42,73","45,42",Hide,Field,Average,"1,49",,,,,,,,,,,,,,
AB2,667,"273,23","41,94","43,45","40,73","45,47",Dorper,ea,"32,50",,,,,,,,,,,,,,,
AB3,149,"307,35","42,62","42,89","41,44","44,12",Merino,ea,"40,82",,,,,,,,,,,,,,,
B2,413,"272,13","39,21","41,93","37,66","43,84",,,,,,,,,,,,,,,,,,
B3,113,"297,32","39,55","41,24","39,53","43,51",,,,,,,,,,,,,,,,,,
C2,1188,"258,70","37,70","39,94","36,72","42,50",,,,,,,,,,,,,,,,,,
C3,463,"282,90","37,99","40,60","38,25","42,50",,,,,,,,,,,,,,,,,,
14,398,,,,,,,,,,,,,,,,,,,,,,,
Class,Units,Avg_mass,Avg_purch,Avg_Selling,Selling_Min,Selling_Max,,,,,,,,,,,,,,,,,,
A0,91,"14,70","49,27","57,31","50,50","59,19",,,,,,,,,,,,,,,,,,
A1,314,"15,33","59,51","64,25","59,19","68,76",,,,,,,,,,,,,,,,,,
A2,6367,"20,41","63,71","69,03","62,97","71,53",,,,,,,,,,,,,,,,,,
A3,1178,"20,97","64,18","70,08","67,55","71,08",,,,,,,,,,,,,,,,,,
A4,167,"21,03","52,54","62,24","59,29","63,71",,,,,,,,,,,,,,,,,,
A5,8,"19,76","43,81","51,29","47,80","53,85",,,,,,,,,,,,,,,,,,
A6,43,"21,02","44,21","53,15","50,51","62,00",,,,,,,,,,,,,,,,,,
AB2,58,"18,19","53,48","55,35","52,00","62,60",,,,,,,,,,,,,,,,,,
AB3,4,"18,83","53,86","63,11","60,00","69,00",,,,,,,,,,,,,,,,,,
B2,192,"23,92","55,32","60,39","56,74","62,49",,,,,,,,,,,,,,,,,,
B3,25,"24,53","49,13","60,45","55,82","62,35",,,,,,,,,,,,,,,,,,
C2,921,"23,35","50,10","53,91","52,09","57,46",,,,,,,,,,,,,,,,,,
C3,106,"25,98","48,57","53,98","50,86","58,86",,,,,,,,,,,,,,,,,,
9,474,,,,,,,,,,,,,,,,,,,,,,,
Class,Units,Avg_mass,Avg_purch,Purch_min,Purch_max,,,,,,,,,,,,,,,,,,,
P,2050,"51,12","22,09","20,27","23,68",,,,,,,,,,,,,,,,,,,
O,212,"52,37","21,44","20,13","22,44",,,,,,,,,,,,,,,,,,,
R,18,"50,75","20,91","17,60","22,00",,,,,,,,,,,,,,,,,,,
C,"152,60","14,70","14,70","14,70",,,,,,,,,,,,,,,,,,,,
P,1493,"61,44","21,77","20,50","23,13",,,,,,,,,,,,,,,,,,,
O,186,"62,24","21,15","20,50","22,50",,,,,,,,,,,,,,,,,,,
R,"2162,24","18,69","15,00","21,63",,,,,,,,,,,,,,,,,,,,
P,9062,"75,85","21,28","19,50","22,84",,,,,,,,,,,,,,,,,,,
O,2831,"75,39","21,37","19,22","22,72",,,,,,,,,,,,,,,,,,,
R,308,"74,99","20,78","19,57","22,40",,,,,,,,,,,,,,,,,,,
C,14,"75,08","18,34","14,73","21,50",,,,,,,,,,,,,,,,,,,
U,2,"81,7","15,50","12,00","20,00",,,,,,,,,,,,,,,,,,,
S,"269,20","20,48","19,60","21,50",,,,,,,,,,,,,,,,,,,,
P,6078,"84,32","20,69","18,90","22,79",,,,,,,,,,,,,,,,,,,
O,7023,"86,32","20,34","18,90","22,12",,,,,,,,,,,,,,,,,,,
R,1056,"88,46","19,89","18,89","21,38",,,,,,,,,,,,,,,,,,,
C,74,"91,93","17,66","16,19","20,01",,,,,,,,,,,,,,,,,,,
U,6,"93,97","17,26","15,75","18,90",,,,,,,,,,,,,,,,,,,
S,"8697,80","20,68","19,88","21,09",,,,,,,,,,,,,,,,,,,,
"1259,00","136,27","14,83","13,16","17,26",,,,,,,,,,,,,,,,,,,,
31,782,,,,,,,,,,,,,,,,,,,,,,,
CATTLE,,,,,,,,,,,,,,,,,,,,,,,,
PIGS,,,,,,,,,,,,,,,,,,,,,,,,
Weighted,20%65,-,"79,99",kg,80,-,"99,99",kg,56,-,"64,99",kg,20,-,"55,99",kg404244464850,,,,,,,,
9,10,11,12,13,14,15Beef,A2,-Sales,Price,2019,2018,,,,,,,,,,,,,
6668707274,,,,,,,,,,,,,,,,,,,,,,,,
9101112131415Lamb,A2,-Sales,Price,2019,2018,,,,,,,,,,,,,,,,,,,
182022242628,,,,,,,,,,,,,,,,,,,,,,,,
Class,Units,Avg_mass,Avg_purch,Avg_selling,Selling_min,Selling_max2021/04/19,To,2021/04/25,,,,,,,,,,,,,,,,
A2,7491,"287,87","52,35","54,85","52,15","61,22",Hide,Feedlot,Weighted,"8,98",,,,,,,,,,,,,,
A3,499,"307,26","52,26","54,87","52,41","60,62",Hide,Field,Average,"8,92",,,,,,,,,,,,,,
AB2,1175,"293,84","51,06","52,58","50,44","54,60",Dorper,ea,"40,96",,,,,,,,,,,,,,,
AB3,94,"301,61","50,03","51,57","50,38","53,35",Merino,ea,"62,00",,,,,,,,,,,,,,,
B2,631,"267,58","46,82","47,73","45,53","53,18",,,,,,,,,,,,,,,,,,
B3,52,"290,10","46,17","46,91","46,45","48,60",,,,,,,,,,,,,,,,,,
C2,563,"265,94","45,03","46,41","42,65","51,61",,,,,,,,,,,,,,,,,,
C3,163,"286,85","45,52","46,31","44,00","51,03",,,,,,,,,,,,,,,,,,
10,668,,,,,,,,,,,,,,,,,,,,,,,
Class,Units,Avg_mass,Avg_purch,Avg_Selling,Selling_Min,Selling_Max,,,,,,,,,,,,,,,,,,
A0,14,"13,38","61,36","69,83","66,66","71,49",,,,,,,,,,,,,,,,,,
A1,263,"16,19","84,45","85,09","83,27","85,66",,,,,,,,,,,,,,,,,,
A2,7427,"20,36","85,19","85,12","82,87","85,71",,,,,,,,,,,,,,,,,,
A3,835,"21,49","81,89","81,07","76,61","82,22",,,,,,,,,,,,,,,,,,
A4,161,"20,50","75,20","73,02","72,63","73,88",,,,,,,,,,,,,,,,,,
A5,32,"20,36","68,43","64,25","63,81","65,17",,,,,,,,,,,,,,,,,,
A6,28,"19,44","70,22","64,76","64,76","64,76",,,,,,,,,,,,,,,,,,
AB2,37,"18,08","73,86","75,90","75,29","76,18",,,,,,,,,,,,,,,,,,
AB3,,,,,,,,,,,,,,,,,,,,,,,,
B2,109,"20,90","66,39","73,03","72,66","73,16",,,,,,,,,,,,,,,,,,
B3,8,"26,25","64,36","72,05","70,22","74,90",,,,,,,,,,,,,,,,,,
C2,488,"23,39","55,09","58,72","48,00","67,53",,,,,,,,,,,,,,,,,,
C3,55,"26,80","58,39","62,55","51,55","67,30",,,,,,,,,,,,,,,,,,
9,457,,,,,,,,,,,,,,,,,,,,,,,
Class,Units,Avg_mass,Avg_purch,Purch_min,Purch_max,,,,,,,,,,,,,,,,,,,
P,1321,"53,24","30,69","27,96","31,50",,,,,,,,,,,,,,,,,,,
O,76,"53,99","30,04","26,49","31,50",,,,,,,,,,,,,,,,,,,
R,36,"50,46","28,98","24,25","30,65",,,,,,,,,,,,,,,,,,,
C,5,"47,38","27,31","18,90","30,50",,,,,,,,,,,,,,,,,,,
U,2,"50,00","26,97","26,97","26,97",,,,,,,,,,,,,,,,,,,
S,"642,42","29,51","28,00","30,50",,,,,,,,,,,,,,,,,,,,
P,1094,"63,50","29,51","28,36","30,00",,,,,,,,,,,,,,,,,,,
O,201,"63,98","29,62","28,94","30,00",,,,,,,,,,,,,,,,,,,
R,13,"63,79","26,60","24,00","29,50",,,,,,,,,,,,,,,,,,,
C,1,"59,30","22,00","22,00","22,00",,,,,,,,,,,,,,,,,,,
U,,,,,,,,,,,,,,,,,,,,,,,,
S,,,,,,,,,,,,,,,,,,,,,,,,
P,6850,"76,76","29,07","27,33","30,15",,,,,,,,,,,,,,,,,,,
O,3194,"77,07","29,12","27,60","30,60",,,,,,,,,,,,,,,,,,,
R,220,"76,88","28,27","27,56","29,29",,,,,,,,,,,,,,,,,,,
C,22,"74,05","24,68","23,00","26,93",,,,,,,,,,,,,,,,,,,
U,4,"75,10","23,48","23,00","25,50",,,,,,,,,,,,,,,,,,,
S,"575,02","21,94","20,00","22,47",,,,,,,,,,,,,,,,,,,,
P,4486,"85,41","29,00","28,40","29,63",,,,,,,,,,,,,,,,,,,
O,6788,"88,32","29,02","28,44","29,68",,,,,,,,,,,,,,,,,,,
R,888,"90,40","28,57","28,04","29,02",,,,,,,,,,,,,,,,,,,
C,49,"91,48","24,55","23,18","26,25",,,,,,,,,,,,,,,,,,,
U,"484,68","22,39","22,39","22,39",,,,,,,,,,,,,,,,,,,,
S,"4592,37","27,83","26,34","28,17",,,,,,,,,,,,,,,,,,,,
